id,student_id,student_mobility_id,done_date,notes,created_at
c925b68f-5ef2-419c-bfad-8e59641916e9,0c932874-b8b7-4542-a522-a5cffd9c66a9,36cd05d0-6f77-4cef-b5bc-61a1b60ebe48,2026-05-28,,2026-05-28 19:00:48.852607+00
e8a17bce-c758-42e4-8bb5-8026dfddaaf1,0c932874-b8b7-4542-a522-a5cffd9c66a9,c5827daf-eb2c-41e0-bdd0-ebbc4ffa2ef1,2026-05-28,,2026-05-28 19:00:50.352885+00
bae42254-12b2-4a5a-91c1-3517bcdb2dda,0c932874-b8b7-4542-a522-a5cffd9c66a9,fad8abee-915f-4b91-b682-520dda3ac19a,2026-05-28,,2026-05-28 19:00:51.752469+00
d4c73e6a-6d02-4874-bec3-2226dd6780f5,0c932874-b8b7-4542-a522-a5cffd9c66a9,b46da8c4-f894-4d5e-b131-4f8aa4a429b9,2026-05-28,,2026-05-28 19:00:52.79919+00
fc2e1f9e-c1a3-4d01-8391-5bb4f79ec42a,4dca53bc-1217-4019-8969-deb495aebae2,48aeee03-791c-4387-acc4-5b156645a296,2026-05-29,,2026-05-29 11:06:04.205544+00
1df1f65e-296e-4ec0-8fa0-f24c2e24cea5,4dca53bc-1217-4019-8969-deb495aebae2,086d5a78-0678-464b-81d5-6b3b53b553ec,2026-05-29,,2026-05-29 11:07:51.984879+00
24a60d3e-1a57-43a7-b391-04aaa13d616f,4dca53bc-1217-4019-8969-deb495aebae2,0d311a4f-2753-42df-8ec5-4c741a7b4ce4,2026-05-29,,2026-05-29 11:13:39.834546+00
619a4cbc-aef9-4ba3-afc9-df483413a14c,4dca53bc-1217-4019-8969-deb495aebae2,0b5938c3-6b7a-496f-b5ec-b8009569d7f4,2026-05-29,,2026-05-29 11:13:43.677102+00
7a8b4247-bf2a-450f-b935-a95e57576380,4dca53bc-1217-4019-8969-deb495aebae2,a1c1b022-c029-45ad-9e44-0205679ef77e,2026-05-29,,2026-05-29 11:15:34.666817+00
182fe22f-3994-4cee-aeb3-e5c328aeabd8,0c932874-b8b7-4542-a522-a5cffd9c66a9,36cd05d0-6f77-4cef-b5bc-61a1b60ebe48,2026-05-29,,2026-05-29 12:06:12.521635+00
61ffa194-fb06-4a6f-8b76-86cd4c12808c,0c932874-b8b7-4542-a522-a5cffd9c66a9,c5827daf-eb2c-41e0-bdd0-ebbc4ffa2ef1,2026-05-29,,2026-05-29 12:06:13.220543+00
4ee8ec1c-949e-4cd6-b4d2-f7f1f58e1a76,4dca53bc-1217-4019-8969-deb495aebae2,0dd4406c-3de6-4054-9c4b-4987a8f4ed07,2026-05-29,,2026-05-29 12:12:02.348747+00
ee68af99-cd30-4364-b610-3a2648c9f913,0c932874-b8b7-4542-a522-a5cffd9c66a9,b46da8c4-f894-4d5e-b131-4f8aa4a429b9,2026-05-29,,2026-05-29 12:23:12.883113+00
1e0b31e9-229a-45db-845f-4a67a3560fa3,0c932874-b8b7-4542-a522-a5cffd9c66a9,71f22fc5-e5e3-4969-b188-53fa44899c8e,2026-05-29,,2026-05-29 12:23:16.559367+00
ce24603c-a703-4bff-b076-3c40f76a7943,0c932874-b8b7-4542-a522-a5cffd9c66a9,5eac02a4-5494-44b0-a9fd-8634b3d46dca,2026-05-29,,2026-05-29 12:23:16.642089+00
d65a8cd6-6f80-441c-8722-10294914a62e,0c932874-b8b7-4542-a522-a5cffd9c66a9,b531e6d0-d7c7-4de9-a454-c07af93098c9,2026-05-29,,2026-05-29 12:23:16.898403+00
056392ac-6900-4732-ae57-2fed80014c61,4dca53bc-1217-4019-8969-deb495aebae2,0d311a4f-2753-42df-8ec5-4c741a7b4ce4,2026-06-01,,2026-06-01 11:11:07.830648+00
6b13a124-b145-43c0-aef9-80ce663ce964,4dca53bc-1217-4019-8969-deb495aebae2,086d5a78-0678-464b-81d5-6b3b53b553ec,2026-06-01,,2026-06-01 11:15:43.24168+00
3917ab2e-1fd4-4bf3-8028-9dd53ba0dba8,4dca53bc-1217-4019-8969-deb495aebae2,a1c1b022-c029-45ad-9e44-0205679ef77e,2026-06-01,,2026-06-01 11:25:29.637184+00
9f038cb0-c6d6-451c-ae2f-6b1794de05c0,0c932874-b8b7-4542-a522-a5cffd9c66a9,5eac02a4-5494-44b0-a9fd-8634b3d46dca,2026-06-01,,2026-06-01 12:06:59.399071+00
f31f7e90-9bd5-4451-af91-e0c005cdb7b8,0c932874-b8b7-4542-a522-a5cffd9c66a9,71f22fc5-e5e3-4969-b188-53fa44899c8e,2026-06-01,,2026-06-01 12:07:00.309707+00
5865d443-774d-45ca-b1f1-e3ebf065baf8,0c932874-b8b7-4542-a522-a5cffd9c66a9,b531e6d0-d7c7-4de9-a454-c07af93098c9,2026-06-01,,2026-06-01 12:07:00.593548+00
